"zip","score_ngas","score_elec","score_dty"
10303,,0.0088849869,0.1311134249
10304,,0.0059762299,0.2518210113
10305,,0.0031959112,0.4443288147
10306,,0.001452859,0.4620187283
10308,,"7.812411786289886e-05",0.4235171676
10309,,0.0001542527,0.3444328904
10310,,0.0053889058,0.1945889741
10312,,0,0.6389178038
10314,,0.0010111973,1
10451,0.0918243825,0.0313242152,0.0280957334
10452,0.0965252519,0.0027116507,0.0447450578
10453,0.1216022596,0.0097988928,0.0416233093
10454,0.1294787824,0.0345128626,0.0114464099
10455,0.1967888176,0.0138242468,0.0041623311
10456,0.1331931204,0.0157230143,0.0322580636
10457,0.1409069449,0.0104658399,0.0385015607
10458,0.1206285357,0.0023409501,0.0634755492
10459,0.2576425076,0.0012878666,0.0322580636
10460,0.1576884836,0.0160359908,0.046826221
10461,0.4286770523,0.0037703349,0.1550468206
10462,0.1934805214,0.0002349162,0.1311134249
10463,0.1452865899,0.0141381305,0.108220607
10464,0.9676499963,,0.0374609791
10465,0.6506326795,0.0067865318,0.1134235188
10466,0.396710068,0.0061799828,0.1841831356
10467,0.1628956497,0.0076587,0.1925078034
10468,0.0955973044,0.0053342772,0.0301768985
10469,0.5313031673,0.0048450427,0.1893860549
10470,0.4149518907,0.0005826456,0.0280957334
10471,0.3951456249,0.0167788211,0.0665972978
10472,0.2106041461,0.0097026872,0.0457856394
10473,0.2687689662,0.0289896969,0.0447450578
10474,0.2324810624,0.0015455264,0.0124869924
10475,0.0380252413,0.0227356143,0.0332986489
11001,0.1164190173,,0.0187304895
11004,0.3988410234,,0.0728407875
11040,0.0396745168,,0
11101,0.2037679702,0.0152315125,0.1207075939
11102,0.2438141406,0.0070522856,0.0832466185
11103,0.2931531668,,0.1279916763
11104,0.1973522007,0.0010403261,0.0874089524
11105,0.3265375495,0.0001819454,0.0894901156
11106,0.1982877105,0.0110705141,0.1363163441
11201,,0.0210349057,0.1696149856
11203,,0.0010215929,0.0541103035
11204,,"2.052030868071597e-05",0.246618107
11205,,0.0177842248,0.0374609791
11206,,0.0276398063,0.0385015607
11207,,0.0095937932,0.0988553613
11208,,0.0071026399,0.1363163441
11209,,0.0021707944,0.1581685692
11211,0.043,0.0113465609,0.0946930274
11210,,0.0064610341,0.2060353756
11212,,0.0200661663,0.068678461
11213,,0.0043300828,0.1009365246
11214,,0.0023895868,0.173777312
